# Current work path is /home/local/CORNELL/xh239/public2/work
# Action is compare_3m with parameter 20_1000
# Run compare_3m with parameters 20_1000
Real data PARS_V1
../work/PARS_V1.csv
Ratio	LeftSpan	RightSpan	PL	MP	MPL
-1	1	1	0.0840062680305672	0.676868290805227	0.697183765338709
-1	2	2	0.147431331680904	0.676868290805227	0.710538963081524
-1	3	3	0.200198185415646	0.676868290805227	0.72642945836246
-1	4	4	0.215259412472395	0.676868290805227	0.729814971779814
-1	5	5	0.230570747927255	0.676868290805227	0.733247602650715
-1	6	6	0.242977600332393	0.676868290805227	0.739527310889918
-1	7	7	0.248739614994814	0.676868290805227	0.741967730914667
-1	8	8	0.250629435744341	0.676868290805227	0.742574224915602
-1	9	9	0.255243699311837	0.676868290805227	0.744959197827697
-1	10	10	0.255891949500938	0.676868290805227	0.745195077750271
Read data PARS_S1
../work/PARS_S1.csv
Ratio	LeftSpan	RightSpan	PL	MP	MPL
-1	1	1	0.0244198806073008	0.718790930555077	0.713719928917723
-1	2	2	0.0825865274170416	0.718790930555077	0.71118410860583
-1	3	3	0.0998902683003164	0.718790930555077	0.744484806206553
-1	4	4	0.132045406229455	0.718790930555077	0.757527045536537
-1	5	5	0.138882752075987	0.718790930555077	0.754776853544589
-1	6	6	0.148968328595551	0.718790930555077	0.759312881775768
-1	7	7	0.159503708145967	0.718790930555077	0.759256166334311
-1	8	8	0.155709903444277	0.718790930555077	0.756009659890086
-1	9	9	0.154571891440734	0.718790930555077	0.750916455847977
-1	10	10	0.152756750011143	0.718790930555077	0.749007205131713
# Start  at: Fri Nov  1 23:54:35 2013
# Finish at: Sat Nov  2 16:15:16 2013
# Total Time: 001 day 16:20:41
