# Current work path is /home/xhhu/tmp/web/public/work
# Action is combine_fit with parameter 8_AllModel_20
# Run combine_fit with parameters 8_AllModel_20
fit_pars_all.R	CV	MixPoiSep	2	0.677550781395092	0.714975462022284
fit_pars_all.R	CV	MixPoiLin	2	0.697022665440143	0.713813431804659
fit_pars_all.R	CV	MPLComSam	2	0.64848843498209	0.582906789948499
fit_pars_all.R	CV	MPLComOpp	2	0.408963202036114	0.280934966065863
fit_pars_all.R	CV	MixPoiSep	4	0.677554177664366	0.715078745341114
fit_pars_all.R	CV	MixPoiLin	4	0.710542926096606	0.74085692851644
fit_pars_all.R	CV	MPLComSam	4	0.669141658702136	0.609016661023471
fit_pars_all.R	CV	MPLComOpp	4	0.440775704201696	0.304517750949978
fit_pars_all.R	CV	MixPoiSep	6	0.677539293244627	0.715056718270285
fit_pars_all.R	CV	MixPoiLin	6	0.726511654952573	0.752163615549398
fit_pars_all.R	CV	MPLComSam	6	0.68675910953431	0.608238602857978
fit_pars_all.R	CV	MPLComOpp	6	0.484868514240789	0.325496120888711
fit_pars_all.R	CV	MixPoiSep	8	0.677493683761736	0.715065795706949
fit_pars_all.R	CV	MixPoiLin	8	0.730434412566022	0.76162378484316
fit_pars_all.R	CV	MPLComSam	8	0.689371865922248	0.619134930108308
fit_pars_all.R	CV	MPLComOpp	8	0.516864447792541	0.341519218155505
fit_pars_all.R	CV	MixPoiSep	10	0.67744263650231	0.715323076666878
fit_pars_all.R	CV	MixPoiLin	10	0.7340234116013	0.760396756689077
fit_pars_all.R	CV	MPLComSam	10	0.693039539445142	0.614533497040427
fit_pars_all.R	CV	MPLComOpp	10	0.51034029694999	0.347146275591682
fit_pars_all.R	CV	MixPoiSep	12	0.677515272917198	0.715362529289563
fit_pars_all.R	CV	MixPoiLin	12	0.739787482511452	0.765487343821084
fit_pars_all.R	CV	MPLComSam	12	0.695057448930799	0.624405155462329
fit_pars_all.R	CV	MPLComOpp	12	0.51975129240196	0.34762095083925
fit_pars_all.R	CV	MixPoiSep	14	0.677534153672875	0.71535316228485
fit_pars_all.R	CV	MixPoiLin	14	0.74256755078455	0.767967217327137
fit_pars_all.R	CV	MPLComSam	14	0.698984091390297	0.639137497712875
fit_pars_all.R	CV	MPLComOpp	14	0.511049510410216	0.361388579627648
fit_pars_all.R	CV	MixPoiSep	16	0.677510166562808	0.715361719059255
fit_pars_all.R	CV	MixPoiLin	16	0.743235836964389	0.769697673778963
fit_pars_all.R	CV	MPLComSam	16	0.699322086153743	0.634778193356021
fit_pars_all.R	CV	MPLComOpp	16	0.533217306832775	0.347192705669308
fit_pars_all.R	CV	MixPoiSep	18	0.677608933240574	0.715383472810393
fit_pars_all.R	CV	MixPoiLin	18	0.746226117023724	0.768440662170754
fit_pars_all.R	CV	MPLComSam	18	0.701140393013849	0.634730469372175
fit_pars_all.R	CV	MPLComOpp	18	0.537819354805907	0.348959287588847
fit_pars_all.R	CV	MixPoiSep	20	0.677539767647047	0.715491465678603
fit_pars_all.R	CV	MixPoiLin	20	0.74676196372129	0.768821658534736
fit_pars_all.R	CV	MPLComSam	20	0.700859588599745	0.631119625067661
fit_pars_all.R	CV	MPLComOpp	20	0.494992166966549	0.377610514025392
fit_pars_all.R	Predict	MixPoiSep	2	0.666976835737585	0.720234651128003	34255656.8109489	59693667.9546117
fit_pars_all.R	Predict	MixPoiLin	2	0.684160365739338	0.729965768205565	32488112.7788561	57617334.7918467
fit_pars_all.R	Predict	MPLComSam	2	0.645262963510773	0.609476082836601	36489204.0078411	83326277.3015978
fit_pars_all.R	Predict	MPLComOpp	2	0.424753208713588	0.334533089319913	59171429.4335976	141990996.959004
fit_pars_all.R	Predict	MixPoiSep	4	0.66689342903665	0.720338587581991	34239841.758784	59649978.3582286
fit_pars_all.R	Predict	MixPoiLin	4	0.699921144998784	0.750139424547589	30844940.9469294	53293651.7392453
fit_pars_all.R	Predict	MPLComSam	4	0.669603159206835	0.633901361599502	33961310.0805651	78086482.0382362
fit_pars_all.R	Predict	MPLComOpp	4	0.454042959417232	0.374821533833093	56118624.8070282	133346540.927665
fit_pars_all.R	Predict	MixPoiSep	6	0.666873171717768	0.720382153735212	34225726.026711	59596103.2871907
fit_pars_all.R	Predict	MixPoiLin	6	0.710382613191454	0.751733854441343	29755530.0021748	52913986.1817528
fit_pars_all.R	Predict	MPLComSam	6	0.681337909041049	0.637548676698368	32739606.9433944	77250743.4293301
fit_pars_all.R	Predict	MPLComOpp	6	0.504080925570761	0.358830105536186	50951136.1194097	136655180.509895
fit_pars_all.R	Predict	MixPoiSep	8	0.666845844234904	0.720327122767742	34214035.3236455	59545133.9237068
fit_pars_all.R	Predict	MixPoiLin	8	0.713309620754291	0.757922221800558	29442330.5029343	51540763.8577279
fit_pars_all.R	Predict	MPLComSam	8	0.68437953210076	0.641339882672004	32413372.7606393	76362302.0249193
fit_pars_all.R	Predict	MPLComOpp	8	0.493915543498127	0.393530481364152	51973511.8769218	129123385.382228
fit_pars_all.R	Predict	MixPoiSep	10	0.6668850991358	0.720451975359565	34192224.2024124	59447351.4238955
