# Current work path is /home/xhhu/tmp/web/public/work
# Action is figure3 with parameter 8_40_20
Encode	FitModel	FitWin	Model	ScanWin	Total	YKL185W	YLL028W	YMR171C	YMR202W	YNL283C	YOR247W	
ProbVS	MixPoiSep	2	learn_domain_forest.R	40	0.682641498428136	0.702431231887501	0.637069207146165	0.864866879341701	0.650967564363144	0.634784030903908	0.786913340350309	
ProbVS	MixPoiSep	4	learn_domain_forest.R	40	0.676308069923372	0.698559313981662	0.639945221672476	0.863515299682975	0.651877964092141	0.704590414180906	0.793248859741451	
ProbVS	MixPoiSep	6	learn_domain_forest.R	40	0.672899397656941	0.700450140149176	0.640754100758	0.865055702970494	0.656853404471545	0.685688250595804	0.794611772326128	
ProbVS	MixPoiSep	8	learn_domain_forest.R	40	0.678733099395815	0.701022613900898	0.654480672207463	0.866412251672083	0.645663956639567	0.639001386314428	0.792284025584973	
ProbVS	MixPoiSep	10	learn_domain_forest.R	40	0.671514576579232	0.698447669723027	0.637750127958273	0.868906711189291	0.646510840108401	0.650006230626645	0.792972228969314	
ProbVS	MixPoiSep	12	learn_domain_forest.R	40	0.668117263483643	0.696790821416694	0.620961697823491	0.864692962841497	0.646542598238482	0.679885979532392	0.790394839824036	
ProbVS	MixPoiSep	14	learn_domain_forest.R	40	0.672476268543079	0.695974868164758	0.645895281386336	0.869239637061109	0.647146002710028	0.640477266001028	0.789322052195504	
ProbVS	MixPoiSep	16	learn_domain_forest.R	40	0.66924228190392	0.699491662311749	0.636971715128324	0.867907933573835	0.659002371273713	0.647848876150719	0.792992470245324	
ProbVS	MixPoiSep	18	learn_domain_forest.R	40	0.66773888029276	0.700766069647014	0.638513307660435	0.865781183228487	0.643769054878049	0.664215953519525	0.796426740075028	
ProbVS	MixPoiSep	20	learn_domain_forest.R	40	0.670867334094705	0.701479880279348	0.642892831899388	0.859579817735508	0.657350948509485	0.684952257823331	0.796764094675195	
