# Current work path is /home/xhhu/tmp/web/public/work
# Action is figure3 with parameter 8_100_20
Encode	FitModel	FitWin	Model	ScanWin	Total	YKL185W	YLL028W	YMR171C	YMR202W	YNL283C	YOR247W	
ProbVS	MixPoiSep	2	learn_domain_forest.R	100	0.716451368714946	0.747787147513531	0.709474353806621	0.85134220964915	0.698359433258762	0.66245395089177	0.898394268774704	
ProbVS	MixPoiSep	4	learn_domain_forest.R	100	0.724844875695745	0.747660058012619	0.710442699148486	0.849010383034552	0.693885160328113	0.649621058439767	0.894087615283268	
ProbVS	MixPoiSep	6	learn_domain_forest.R	100	0.713504375594978	0.748199565403746	0.700009762180682	0.854145526480325	0.705501957494407	0.664588032911927	0.898937747035573	
ProbVS	MixPoiSep	8	learn_domain_forest.R	100	0.727692084605213	0.74616987131565	0.713568171512067	0.856625975011018	0.698685682326622	0.664908550933965	0.903903162055336	
ProbVS	MixPoiSep	10	learn_domain_forest.R	100	0.72624095347172	0.755194471855905	0.699537398599284	0.857035966503695	0.691403337061894	0.656400623184408	0.90354907773386	
ProbVS	MixPoiSep	12	learn_domain_forest.R	100	0.723285767887835	0.752126880177028	0.704771187081171	0.858025070979777	0.699000279642058	0.651118161605998	0.90368906455863	
ProbVS	MixPoiSep	14	learn_domain_forest.R	100	0.714165998980858	0.747299971093369	0.70119539476999	0.852582433914496	0.702064690529456	0.677270809328292	0.90453722002635	
ProbVS	MixPoiSep	16	learn_domain_forest.R	100	0.722172002418415	0.748234452717722	0.703196641809845	0.860700265469492	0.679448639075317	0.646196789951151	0.900148221343874	
ProbVS	MixPoiSep	18	learn_domain_forest.R	100	0.719965689961118	0.747724848738574	0.708860281150804	0.851936697313531	0.702216163310962	0.639709342897483	0.903763175230566	
ProbVS	MixPoiSep	20	learn_domain_forest.R	100	0.716386648250008	0.73958115287621	0.710656837305386	0.849820116232588	0.708030387770321	0.717035330011847	0.898262516469038	
ProbVS	MixPoiLin	2	learn_domain_forest.R	100	0.774315314828196	0.767452378816423	0.731998223912934	0.848697764521386	0.82979120059657	0.709103523263928	0.899843544137022	
ProbVS	MixPoiLin	4	learn_domain_forest.R	100	0.754820855391542	0.78296228182969	0.692223635813977	0.806545514180581	0.771637304250559	0.68975478342719	0.955566534914361	
ProbVS	MixPoiLin	6	learn_domain_forest.R	100	0.752368605167479	0.804958733291469	0.704294099863959	0.823375664954952	0.635696308724832	0.698599457959396	0.918445322793149	
ProbVS	MixPoiLin	8	learn_domain_forest.R	100	0.75788254300634	0.79601138323216	0.710425379150501	0.830694013099228	0.710325782997763	0.777649750888525	0.908119235836627	
ProbVS	MixPoiLin	10	learn_domain_forest.R	100	0.753596409734613	0.808058720333324	0.679912266337482	0.813694740834128	0.681243008948546	0.765810870023856	0.930393610013175	
ProbVS	MixPoiLin	12	learn_domain_forest.R	100	0.768685289775641	0.806132442211656	0.673489696175744	0.841599786804424	0.754649049217002	0.751874421850403	0.922093214756258	
ProbVS	MixPoiLin	14	learn_domain_forest.R	100	0.762086342015707	0.805599164698026	0.669510820275104	0.851214087307688	0.713296979865772	0.772501176585144	0.911034255599473	
ProbVS	MixPoiLin	16	learn_domain_forest.R	100	0.763827650221115	0.805692612860461	0.670628747417746	0.836351895698164	0.694933818046234	0.813446339603044	0.896862648221344	
ProbVS	MixPoiLin	18	learn_domain_forest.R	100	0.762018508414479	0.77020224674302	0.714982113165718	0.846832303229708	0.700130499627144	0.86751651276392	0.888751646903821	
ProbVS	MixPoiLin	20	learn_domain_forest.R	100	0.76366666830516	0.773190095989952	0.714967942258276	0.831554995233849	0.673226603281133	0.877416056735747	0.893807641633729	
ProbVS	MPLComSam	2	learn_domain_forest.R	100	0.758806816785375	0.763890134864388	0.702089736484103	0.840062318706887	0.795919556301268	0.717299047371752	0.898262516469038	
ProbVS	MPLComSam	4	learn_domain_forest.R	100	0.73052380975788	0.722461449518057	0.67254654355822	0.780726299929276	0.784990212527964	0.68693503627128	0.925288208168643	
ProbVS	MPLComSam	6	learn_domain_forest.R	100	0.722799463229764	0.748924723144244	0.711370106313297	0.854786138187632	0.71205024235645	0.516362647884581	0.905360671936759	
ProbVS	MPLComSam	8	learn_domain_forest.R	100	0.747881920379081	0.739317006070393	0.678027535647705	0.829269292662177	0.715685589112602	0.798276505623265	0.892728919631094	
ProbVS	MPLComSam	10	learn_domain_forest.R	100	0.753160488729627	0.774285308453694	0.678251121076233	0.827583202648545	0.72244360551827	0.790178354079099	0.884741436100132	
ProbVS	MPLComSam	12	learn_domain_forest.R	100	0.730620480832092	0.770979735454482	0.663670831863758	0.76514149831391	0.710978281133482	0.728099287557409	0.875823451910408	
ProbVS	MPLComSam	14	learn_domain_forest.R	100	0.755976566276214	0.783444474347856	0.680542084446012	0.866793764029396	0.722571774794929	0.824700985085769	0.868132411067194	
ProbVS	MPLComSam	16	learn_domain_forest.R	100	0.757672897854722	0.772345324601537	0.669367536655414	0.879114008384326	0.681487695749441	0.843063827715477	0.881167654808959	
ProbVS	MPLComSam	18	learn_domain_forest.R	100	0.74785463947424	0.751492678647967	0.679025797349725	0.875557332185357	0.642803877703207	0.869626251643162	0.857798089591568	
ProbVS	MPLComSam	20	learn_domain_forest.R	100	0.744722005121928	0.742899185630414	0.674299012445206	0.848954009204309	0.647802479492916	0.847023645304208	0.860276679841897	
ProbVS	MPLComOpp	2	learn_domain_forest.R	100	0.690466593589888	0.660178872242656	0.718365810953796	0.839841948279573	0.650342561521253	0.621735990522404	0.86151185770751	
